"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Total","Assert","Max","Min","Samples","Score"
"|SimpleFunction4","00:00:00.0017123","100","7.1.4","Win","CoreCLR","0","00:00:00.0119858","True","00:00:00.0025927","00:00:00.0012526","7","2,9017115743094393"
"|Foreach2.0","00:00:00.0023243","100","7.1.4","Win","CoreCLR","24576","00:00:00.0162699","True","00:00:00.0025328","00:00:00.0022001","7","3,9388239281477717"
"|Foreach2.0","00:00:00.0025482","3","7.1.4","Win","CoreCLR","1101824","00:00:00.0178373","True","00:00:00.0098206","00:00:00.0011526","7","29,222477064220183"
"|Foreach2.0","00:00:00.0032148","1","7.1.4","Win","CoreCLR","86016","00:00:00.0225033","True","00:00:00.0146061","00:00:00.0011430","7","13,22962962962963"
"|SimpleFunction1","00:00:00.0057073","1000","7.1.4","Win","CoreCLR","151552","00:00:00.0399508","True","00:00:00.0088401","00:00:00.0046103","7","1"
"|AnonymousFunc","00:00:00.0081461","1000","7.1.4","Win","CoreCLR","12288","00:00:00.0570228","True","00:00:00.0132162","00:00:00.0053506","7","1,4273123893960367"
"|SimpleFunction4","00:00:00.0112748","1000","7.1.4","Win","CoreCLR","0","00:00:00.0789238","True","00:00:00.0141842","00:00:00.0092176","7","1,9755050549296516"
"|Foreach2.0","00:00:00.0120537","1000","7.1.4","Win","CoreCLR","-1069056","00:00:00.0843756","True","00:00:00.0156511","00:00:00.0087802","7","2,1119793948101555"
"|SimpleFunction2","00:00:00.0124933","1000","7.1.4","Win","CoreCLR","929792","00:00:00.0874530","True","00:00:00.0155480","00:00:00.0107973","7","2,189003556848247"
"|SimpleFunction3","00:00:00.0126552","1000","7.1.4","Win","CoreCLR","0","00:00:00.0885865","True","00:00:00.0151933","00:00:00.0103967","7","2,217370735724423"
"|& SimpleMethod","00:00:00.0142330","1000","7.1.4","Win","CoreCLR","20480","00:00:00.0996309","True","00:00:00.0194012","00:00:00.0111649","7","2,493823699472605"
"|Foreach","00:00:00.0158207","1000","7.1.4","Win","CoreCLR","-1523712","00:00:00.1107452","True","00:00:00.0181499","00:00:00.0137943","7","2,7720112837944386"
"|Foreach{}{}{}","00:00:00.0171328","1000","7.1.4","Win","CoreCLR","1941504","00:00:00.1199299","True","00:00:00.0216406","00:00:00.0126608","7","3,00190983477301"
"|AnonymousFunc","00:00:00.0559963","10000","7.1.4","Win","CoreCLR","-16326656","00:00:00.3919744","True","00:00:00.0620438","00:00:00.0491556","7","1"
"|Foreach2.0","00:00:00.0735453","10000","7.1.4","Win","CoreCLR","-23523328","00:00:00.5148173","True","00:00:00.0797992","00:00:00.0671182","7","1,3133957065020367"
"|SimpleFunction1","00:00:00.0805724","10000","7.1.4","Win","CoreCLR","-3129344","00:00:00.5640067","True","00:00:00.1025798","00:00:00.0664968","7","1,4388879265237167"
"|& SimpleMethod","00:00:00.1159716","10000","7.1.4","Win","CoreCLR","-36433920","00:00:00.8118010","True","00:00:00.1284733","00:00:00.1009510","7","2,0710582663497408"
"|SimpleFunction3","00:00:00.1200163","10000","7.1.4","Win","CoreCLR","-6651904","00:00:00.8401143","True","00:00:00.1300271","00:00:00.1093476","7","2,143289824506262"
"|SimpleFunction4","00:00:00.1223855","10000","7.1.4","Win","CoreCLR","-7876608","00:00:00.8566983","True","00:00:00.1356444","00:00:00.0995886","7","2,1855997628414734"
"|Foreach{}{}{}","00:00:00.1371269","10000","7.1.4","Win","CoreCLR","-2932736","00:00:00.9598886","True","00:00:00.1539827","00:00:00.1141225","7","2,448856442300652"
"|SimpleFunction2","00:00:00.1411058","10000","7.1.4","Win","CoreCLR","-3399680","00:00:00.9877405","True","00:00:00.1708068","00:00:00.1282101","7","2,519912922818115"
"|Foreach","00:00:00.1430476","10000","7.1.4","Win","CoreCLR","-7184384","00:00:01.0013332","True","00:00:00.1681456","00:00:00.1288573","7","2,5545902139962817"
"|SimpleFunction1","00:00:00.4860646","100000","7.1.4","Win","CoreCLR","45785088","00:00:03.4024521","True","00:00:00.5192068","00:00:00.4355316","7","1"
"|Foreach2.0","00:00:00.5151362","100000","7.1.4","Win","CoreCLR","17895424","00:00:03.6059537","True","00:00:00.5692326","00:00:00.4630901","7","1,0598101569215286"
"|AnonymousFunc","00:00:00.6623128","100000","7.1.4","Win","CoreCLR","114823168","00:00:04.6361894","True","00:00:00.7055133","00:00:00.6295570","7","1,3626024195137847"
"|Foreach{}{}{}","00:00:00.9151195","100000","7.1.4","Win","CoreCLR","-13254656","00:00:06.4058366","True","00:00:00.9390324","00:00:00.8890241","7","1,8827116807107533"
"|Foreach","00:00:00.9307246","100000","7.1.4","Win","CoreCLR","-11632640","00:00:06.5150719","True","00:00:00.9607429","00:00:00.8858624","7","1,9148166725163693"
"|& SimpleMethod","00:00:01.0067738","100000","7.1.4","Win","CoreCLR","6193152","00:00:07.0474168","True","00:00:01.1138220","00:00:00.9174485","7","2,0712757110886084"
"|SimpleFunction4","00:00:01.2205275","100000","7.1.4","Win","CoreCLR","89481216","00:00:08.5436925","True","00:00:01.2777892","00:00:01.1960679","7","2,511039684848475"
"|SimpleFunction3","00:00:01.2545215","100000","7.1.4","Win","CoreCLR","118235136","00:00:08.7816502","True","00:00:01.3586873","00:00:01.1338522","7","2,5809768907260477"
"|SimpleFunction2","00:00:01.2806205","100000","7.1.4","Win","CoreCLR","-158367744","00:00:08.9643434","True","00:00:01.5850775","00:00:01.1423881","7","2,6346713996452324"
