"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
".Where({})","00:00:00.0046782","100","7.1.4","Mac","CoreCLR","0","00:00:00.0239359","00:00:00.0007693","00:00:00.0327472","True","12.91963545981773"
"|Foreach-Obj{}","00:00:00.0052528","3","7.1.4","Mac","CoreCLR","20480","00:00:00.0232780","00:00:00.0004647","00:00:00.0367696","True","46.44385499557913"
"|Foreach-Obj{}","00:00:00.0059310","1","7.1.4","Mac","CoreCLR","69632","00:00:00.0395177","00:00:00.0003040","00:00:00.0415172","True","20.75227431770469"
"|Where-Obj{}","00:00:00.0059533","1","7.1.4","Mac","CoreCLR","16384","00:00:00.0385021","00:00:00.0004456","00:00:00.0416730","True","20.830300909727082"
".Where({})","00:00:00.0061280","8","7.1.4","Mac","CoreCLR","0","00:00:00.0413930","00:00:00.0001294","00:00:00.0428957","True","55.60798548094374"
".Foreach({})","00:00:00.0061616","1","7.1.4","Mac","CoreCLR","258048","00:00:00.0425343","00:00:00.0000850","00:00:00.0431310","True","21.559132260321903"
"|Foreach-Obj{}","00:00:00.0069391","8","7.1.4","Mac","CoreCLR","40960","00:00:00.0353148","00:00:00.0005214","00:00:00.0485738","True","62.96823956442831"
"Foreach(){}","00:00:00.0079412","1000","7.1.4","Mac","CoreCLR","8192","00:00:00.0213367","00:00:00.0026463","00:00:00.0555885","True","1"
"|AnonymusPipe","00:00:00.0121196","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0393729","00:00:00.0029551","00:00:00.0848369","True","1.5261673298745781"
"Do{}While()","00:00:00.0133817","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0225259","00:00:00.0057141","00:00:00.0936719","True","1.6850979700800885"
"|Where-Obj{}","00:00:00.0135958","100","7.1.4","Mac","CoreCLR","-290816","00:00:00.0248585","00:00:00.0044196","00:00:00.0951703","True","37.54708644020989"
"While(){}","00:00:00.0138967","1000","7.1.4","Mac","CoreCLR","4096","00:00:00.0215550","00:00:00.0060625","00:00:00.0972772","True","1.7499496297788748"
"|Foreach-Obj{}","00:00:00.0149825","100","7.1.4","Mac","CoreCLR","-110592","00:00:00.0555205","00:00:00.0026667","00:00:00.1048775","True","41.37669152167909"
"For(){}","00:00:00.0169259","1000","7.1.4","Mac","CoreCLR","4964352","00:00:00.0236750","00:00:00.0068134","00:00:00.1184816","True","2.13140331436055"
"Do{}Until()","00:00:00.0196063","1000","7.1.4","Mac","CoreCLR","-2252800","00:00:00.0319044","00:00:00.0058902","00:00:00.1372440","True","2.4689341661209894"
".Where({})","00:00:00.0216502","1000","7.1.4","Mac","CoreCLR","4096","00:00:00.0364026","00:00:00.0073896","00:00:00.1515516","True","2.7263134035158414"
".Where({})","00:00:00.0220350","1000","7.1.4","Mac","CoreCLR","0","00:00:00.0362240","00:00:00.0083061","00:00:00.1542449","True","2.774769556238352"
".Foreach({})","00:00:00.0242849","1000","7.1.4","Mac","CoreCLR","-143360","00:00:00.0518254","00:00:00.0060294","00:00:00.1699946","True","3.0580894575127187"
"|Foreach-Obj{}","00:00:00.0694358","1000","7.1.4","Mac","CoreCLR","4096","00:00:00.0729597","00:00:00.0608582","00:00:00.4860503","True","8.743741500025186"
"Foreach(){}","00:00:00.0740638","10000","7.1.4","Mac","CoreCLR","1253376","00:00:00.0853532","00:00:00.0662023","00:00:00.5184463","True","1"
"|AnonymusPipe","00:00:00.1079947","10000","7.1.4","Mac","CoreCLR","-5853184","00:00:00.1707439","00:00:00.0601897","00:00:00.7559631","True","1.4581306927270812"
"|Where-Obj{}","00:00:00.1194479","1000","7.1.4","Mac","CoreCLR","8192","00:00:00.1506038","00:00:00.1004321","00:00:00.8361351","True","15.041542839873067"
"For(){}","00:00:00.1587816","10000","7.1.4","Mac","CoreCLR","6238208","00:00:00.1808652","00:00:00.1438409","00:00:01.1114712","True","2.1438489518496215"
"While(){}","00:00:00.1631082","10000","7.1.4","Mac","CoreCLR","-5095424","00:00:00.1859337","00:00:00.1453787","00:00:01.1417575","True","2.2022661543156037"
"Do{}While()","00:00:00.1661225","10000","7.1.4","Mac","CoreCLR","-6701056","00:00:00.2095776","00:00:00.1371864","00:00:01.1628577","True","2.2429648492245873"
