"Name","Time","TimesExec","PSVersion","OS","CLR","WorkSet","Max","Min","Total","Assert","Score"
"|Foreach{}{}{}","00:00:01.0943281","10000","7.1.4","Mac","CoreCLR","-5480448","00:00:01.3625806","00:00:00.9095522","00:00:07.6602966","True","3.1116287705813477"
"|Foreach","00:00:01.8819557","10000","7.1.4","Mac","CoreCLR","-1282048","00:00:02.9371169","00:00:01.3274850","00:00:13.1736897","True","5.351180784884861"
"|Foreach2.0","00:00:03.0806842","100000","7.1.4","Mac","CoreCLR","20496384","00:00:04.8134955","00:00:02.2409357","00:00:21.5647896","True","1"
"|Foreach{}{}{}","00:00:03.4881384","100000","7.1.4","Mac","CoreCLR","29499392","00:00:03.7893964","00:00:03.2854859","00:00:24.4169688","True","1.132260943851369"
"|Foreach","00:00:03.4909711","100000","7.1.4","Mac","CoreCLR","11812864","00:00:03.6189789","00:00:03.3997154","00:00:24.4367980","True","1.1331804473824354"
"|SimpleFunction1","00:00:03.6774535","100000","7.1.4","Mac","CoreCLR","61825024","00:00:04.9886310","00:00:03.0038225","00:00:25.7421742","True","1.1937132342224497"
"|AnonymousFunc","00:00:03.9303496","100000","7.1.4","Mac","CoreCLR","-126939136","00:00:04.7237567","00:00:03.5197873","00:00:27.5124471","True","1.2758041216947846"
"|& SimpleMethod","00:00:05.7186576","100000","7.1.4","Mac","CoreCLR","41381888","00:00:05.9821318","00:00:05.4138826","00:00:40.0306032","True","1.8562946503896764"
"|SimpleFunction4","00:00:07.3284455","100000","7.1.4","Mac","CoreCLR","-174637056","00:00:08.3677620","00:00:06.4121684","00:00:51.2991187","True","2.378836980434411"
"|SimpleFunction2","00:00:07.4168779","100000","7.1.4","Mac","CoreCLR","-164802560","00:00:08.2758872","00:00:06.8328804","00:00:51.9181453","True","2.4075424219074453"
"|SimpleFunction3","00:00:07.6051868","100000","7.1.4","Mac","CoreCLR","-190087168","00:00:09.5947433","00:00:06.0509922","00:00:53.2363074","True","2.4686680965221948"
